A	N	T1/2	Nu	spin(halfs)
79	 198	232934.4	0.642	-4
79	 199	271296	0.2612	3
79	 200	67320	5.909	-24
80	 181	3.6	0.50717	-1
80	 183	8.8	0.5245	-1
80	 185	55	0.5094	-1
80	 187	144	-1.04411	13
80	 188	0.000000135	-2.0212	24
80	 189	456	-0.60868	-3
80	 190	0.000000021	-2.52	24
80	 191	2940	-0.61811	-3
80	 193	13680	-0.62762	-3
80	 194	2.9E-09	0	20
80	 195	35640	0.541474914	-1
80	 196	5.2E-09	-0.2913	-14
80	 197	230760	0	-1
80	 198	0.000023	0.766	4
80	 199	0	0.50588559	-1
80	 200	0.0000466	0.655	4
80	 201	0	-0.560225714	-3
80	 202	0.0000273	0.786	4
80	 203	4043520	0.8489513	-5
80	 204	0.0000402	0.92	4
80	 205	312	0.600891	-1
80	 206	2.15E-15	5.455	-10
81	 187	51	1.556	1
81	 188	71	0.4838	14
81	 189	84	3.8786	-9
81	 190	156	0.2542	-4
81	 191	132	1.5884	1
81	 192	576	0.2003	-4
81	 193	1296	1.5912	1
81	 194	2040	0.1403	-4
81	 195	4176	1.584	1
81	 196	6624	0.0723	-4
81	 197	10224	1.582	1
81	 198	19080	0.001	-4
81	 199	26640	1.602	1
81	 200	93960	0.041	-4
81	 201	262800	1.6052	1
81	 202	1054080	0.061	-4
81	 203	0	1.622257871	1
81	 204	119206080	0.091	-4
81	 205	0	1.638214611	1
81	 206	0.000000078	4.276	10
81	 207	286.2	1.8765	1
81	 208	183	0.29213	10
82	 191	130.8	-1.1727	13
82	 192	1.07E-15	2.082	24
82	 193	348	-1.1507	13
82	 194	0.000000018	-0.64	-18
82	 195	900	-1.1287	13
82	 196	0.000000185	0.49015	-10
82	 197	480	-1.0752	-3
82	 198	0.000000049	0.383	-10
82	 199	5400	-1.074212	-3
82	 200	0.000000044	-0.211	-14
82	 201	33588	0.67535	-5
82	 202	1.97E-09	0.00816	8
82	 203	186840	0.68645	-5
82	 204	0.00000294	0	4
82	 205	4.7304E+14	0.71174	-5
82	 206	0.0000084	0	4
82	 207	0	0.5925839	-1
82	 208	0.000015	1.92	-6
82	 209	11700	-1.473516	9
82	 210	0.000000049	-1.879	12
82	 211	2166	-1.40378	9
83	 199	42480	4.64	-9
83	 201	6480	4.83	-9
83	 202	6192	4.93	10
83	 203	42480	4.01713	-9
83	 204	40392	4.32215	12
83	 205	1321920	4.6057	-9
83	 206	539395.2	4.3618	12
83	 207	1015459200	4.0819	-9
83	 208	1.16683E+13	4.6331	10
83	 209	0	0	-9
83	 210	432864	-0.044516	-2
83	 211	0.000315	4.57	-7
83	 212	3636	0.415	-2
83	 213	2736	3.899	-9
84	 198	0.000000029	7.32	16
84	 199	252	0.997	13
84	 200	0.000000061	7.4416	16
84	 201	918	0.948	-3
84	 202	0.00000011	7.4512	16
84	 203	2202	0.746	-5
84	 204	0.000000158	7.381	16
84	 205	5976	0.766	-5
84	 206	0.000000212	7.347	16
84	 207	20844	0.796	-5
84	 208	4.3E-09	5.36	12
84	 209	3216672000	0.688	-1
84	 210	0.000000043	5.485	12
84	 211	0.000000016	-0.3815	-15
85	 207	0.000000108	3.7513	25
85	 208	0.000000048	2.693	-20
85	 209	0.000000026	10.02	-21
85	 210	2.84E-08	9.83	22
85	 211	3.51E-08	9.569	-21
85	 212	1.94E-08	5.9411	22
85	 217	3.2E-14	3.82	-9
86	 203	28	-0.96011	13
86	 205	169.8	0.8029	-5
86	 206	1.35E-08	6.64	16
86	 207	558	0.8169	-5
86	 208	0.00000049	6.988	16
86	 209	1740	0	-5
86	 210	0.000000644	7.186	16
86	 211	52560	0.6017	-1
86	 212	8.8E-09	4.02	8
86	 213	0.000000029	4.7311	21
86	 219	3.96	-0.4425	5
86	 221	1500	-0.0201	7
86	 222	3.2E-10	0.9214	4
86	 223	1392	-0.7768	86276
86	 225	270	-0.6968	-7
87	 207	14.8	3.898	-9
87	 208	58.6	4.751	14
87	 209	50	3.958	-9
87	 210	192	4.409	12
87	 211	186	4.008	-9
87	 212	1158	4.629	10
87	 213	34.7	4.028	-9
87	 214	0.000000103	0	22
87	 215	0.000000004	0	#VALUE!
87	 220	27.4	-0.671	2
87	 221	288	1.583	-5
87	 222	852	0.631	-4
87	 223	1308	1.172	-3
87	 224	198	0.401	-2
87	 225	234	1.072	-3
87	 226	48	0.071214	2
87	 227	144	1.503	1
87	 228	39	-0.762	-4
88	 209	4.7	0.86513	-5
88	 211	13	0.8784	-5
88	 212	1.09E-14	7.107	16
88	 213	162	0.6132	-1
88	 214	6.7E-14	7.083	16
88	 215	5.9E-16	0	-43
88	 216	5E-10	0	12
88	 221	30	-0.1802	-5
88	 223	988416	0.2712	3
88	 224	7.4E-10	0.92	4
88	 225	1278720	-0.733815	-1
88	 227	2532	-0.4042	3
88	 229	240	0.5033	5
89	 215	0.00000003	7.8216	-17
89	 217	0.000000069	3.835	-9
89	 227	686538720	1.11	-3
90	 229	2.31474E+11	0.464	5
90	 232	-1	0	
91	 228	79200	3.55	6
91	 230	1503360	2.02	-4
91	 231	1.04069E+12	2.012	-4
91	233	2332800	4.07	-3
92	233	5.04576E+12	0	5
92	235	2.20752E+16	-0.383	-7
92	238	-1	0	
93	 237	6.62256E+13	3.144	5
93	 239	1.4E-09	2.03	-5
94	 237	0.000000085	-0.685	3
94	 239	7.56864E+11	0.2034	1
94	 241	454118400	-0.68315	5
95	 239	0.000000163	0	7
95	 241	13645627200	1.581	-5
95	 242	57600	0.387915	-2
95	 243	2.3242E+11	0	-5
96	 243	898776000	0.408	5
96	 245	2.68056E+11	0.51	7
96	 247	5.04576E+14	0.367	-9
97	 249	27648000	2.04	7
99	 253	1762560	4.107	7
99	 254	141480	2.907	4
