A	N	T1/2	Nu	spin(halfs)
32	 74	0.0000125	0.874	4
32	 75	4968	0.5105	-1
32	 76	0.0000186	0.845	4
33	 68	0.000000037	0	#VALUE!
33	 69	912	1.5816	-5
33	 70	3180	2.10612	8
33	 71	235080	0	-5
33	 72	93600	-2.15663	-4
33	 73	0.000000005	1.631	-5
33	 74	1537920	-1.5973	-4
33	 75	0	1.439487	-3
33	 76	94680	-0.9065	-4
33	 77	0.000304	0.742	-5
34	 73	25560	0.875	9
34	 74	0.00000708	0	4
34	 75	10238400	0.674	5
34	 76	0.0000111	0.82	4
34	 77	0	0.53504226	-1
34	 78	0.0000086	0.82	4
34	 79	#VALUE!	-1.01815	7
34	 80	0.000008	0.83	4
34	 82	0.0000113	0.93	4
35	 72	79	0.601	6
35	 73	3.47E-08	1.9713	-3
35	 74	2760	1.6818	8
35	 75	5820	0.7618	-3
35	 76	57960	0.548212	-2
35	 77	205200	0.925	-3
35	 78	387.6	0.133	2
35	 79	0	2.1064004	-3
35	 80	1056	0.51406	2
35	 81	0	2.2705624	-3
35	 82	127080	1.62705	-10
35	 84	1908	1.97	-4
36	 75	258	0	5
36	 77	4464	0	5
36	 78	0.000022	1.081	4
36	 79	126144	0	-1
36	 81	#VALUE!	0	7
36	 83	0	-0.9706693	9
36	 84	1.84E-15	-1.972	16
36	 85	339327360	0	9
36	 87	4578	-1.0185	5
36	 89	189	0	3
36	 91	8.57	0	5
36	 93	1.286	0	1
36	 95	0.78	0	1
37	 76	39	-0.372622814	-2
37	 77	228	0.654468016	-3
37	 78	378	2.5492	-8
37	 79	1380	3.357912	5
37	 79	1.86E-08	5.037	9
37	 80	30	-0.08366	2
37	 81	16488	2.059514	-3
37	 82	75	0.554508311	2
37	 83	7447680	1.42498	-5
37	 84	2851200	-1.3241162	-4
37	 85	0	1.352981	-5
37	 86	1611360	-1.692014	-4
37	 87	#VALUE!	2.7513112	-3
37	 88	1062	0.5085	-4
37	 89	912	2.38367	-3
37	 90	255.6	1.61606	-6
37	 91	58	2.181515	-3
37	 93	5.85	1.4102	-5
37	 94	2.73	1.4982	-6
37	 95	0.38	1.3343	-5
37	 96	0.2	1.4662	4
37	 97	0.17	1.8412	-3
38	 77	9	-0.3484	5
38	 79	135	-0.4744	-3
38	 81	1338	0.5434	-1
38	 82	0.000003	22	-10
38	 83	116640	-0.8292	7
38	 84	0.0000032	0.849	4
38	 85	5598720	-1.0002	9
38	 86	0.00000146	0.551	4
38	 87	0	-1.09287	9
38	 88	0.000000152	2.33	4
38	 89	4363200	-1.1472	5
38	 91	34200	-0.8852	5
38	 93	444	-0.7932	5
38	 95	618	-0.5372	-1
38	 97	0.4	-0.4982	-1
